Name Agency,Email,Personel
BBDO,The value is not null,[]
Proximity,The value is not null,[]
Proximity Live,The value is not null,[]
Shunya,The value is not null,[]
Clemenger BBDO,The value is not null,[]
DDB,The value is not null,[]
DDB Vietnam,Daniel.Gordonjones@vn.ddb.com,['Daniel Gordon Jones']
Tribal DDB,The value is not null,[]
Tribal Worldwide Vietnam,Daniel.Gordonjones@vn.ddb.com,['Daniel Gordon Jones']
RAPP,The value is not null,[]
Interbrand,The value is not null,[]
DDB Remedy,The value is not null,[]
DM-9,The value is not null,[]
Touch DDB,The value is not null,[]
Di9it,The value is not null,[]
Naga DDB,The value is not null,[]
Milk n Co,The value is not null,[]
Crawford Brown,The value is not null,[]
Mango,The value is not null,[]
Gutenberg,The value is not null,[]
Mudra,The value is not null,[]
Mudra Max,The value is not null,[]
TBWA Worldwide,The value is not null,[]
TBWA Vietnam,tom.querin@tbwa.com,['Tom Guerin']
Biz Tequila,contact@biztequila.com.vn,[]
Focus Asia,The value is not null,[]
Integer,The value is not null,[]
Auditoire,The value is not null,[]
Creative Juice,The value is not null,[]
Shift,The value is not null,[]
Eleven PR,The value is not null,[]
Being,The value is not null,[]
DAN,The value is not null,[]
Adelphi Values,The value is not null,[]
RX Healthcare,The value is not null,[]
AMCI,The value is not null,[]
Bernard Hodes,The value is not null,[]
Blue Current,The value is not null,[]
Cedar,The value is not null,[]
Consultech,The value is not null,[]
CPM,The value is not null,[]
Critical Mass,The value is not null,[]
Javelin / Enterprise Spectrum,The value is not null,[]
Flamingo,The value is not null,[]
Fleishman Hillard,The value is not null,[]
GMR Marketing,The value is not null,[]
Hall & Partners,The value is not null,[]
Ketchum,The value is not null,[]
Kreab Gavin Anderson,The value is not null,[]
The Marketing Arm,The value is not null,[]
Marketstar,The value is not null,[]
MCI,The value is not null,[]
Omnicom University,The value is not null,[]
Porter Novelli,The value is not null,[]
Cosine,The value is not null,[]
Siegel+Gale,The value is not null,[]
TRO,The value is not null,[]
Vox Global,The value is not null,[]
OMD,The value is not null,[]
OMD Vietnam,vananh.tranluu@omnicommediagroup.com,['Van Anh Tran Luu']
PHD,The value is not null,[]
PHD Vietnam,vananh.tranluu@omnicommediagroup.com,['Van Anh Tran Luu']
Resolution Media,The value is not null,[]
FUSE,The value is not null,[]
Annalect,The value is not null,[]
Accuen,The value is not null,[]
Annalect Solutions,The value is not null,[]
Airwave,The value is not null,[]
NIM,The value is not null,[]
What\'s next,The value is not null,[]
Weber Shandwick,The value is not null,[]
Golin Harris,The value is not null,[]
Jack Morton,The value is not null,[]
FutureBrand,The value is not null,[]
Octagon,The value is not null,[]
MAGNA GLOBAL,The value is not null,[]
UM,The value is not null,[]
Initiative,The value is not null,[]
Reprise Media,The value is not null,[]
Rally,The value is not null,[]
Ansible,The value is not null,[]
Cadreon,The value is not null,[]
Orion,The value is not null,[]
Ensemble,The value is not null,[]
Shopper Sciences,The value is not null,[]
McCann Erickson,The value is not null,[]
MRM Worldwide,The value is not null,[]
Momentum,The value is not null,[]
McCann Healthcare Worldwide,The value is not null,[]
Worldgroup EXP,The value is not null,[]
MullenLowe Mishra,NewBusiness.Enquiries@mullenlowe.com,[]
MullenLowe Open,The value is not null,[]
MullenLowe Proferno,The value is not null,[]
MullenLowe MediaHub,The value is not null,[]
MullenLowe Comms,The value is not null,[]
Happiness Saigon,alan@happiness-saigon.com,"['Mr. Alan Cerutti', 'Mr. Gregory Titeca', 'Mr. Son Nguyen', 'Mr. Nhat Qui']"
Cheil Worldwide,The value is not null,[]
Cheil Vietnam,miles.lee@cheil.com,['Miles Lee']
BMB,The value is not null,[]
One Agency,The value is not null,[]
The Barbarian Group,The value is not null,[]
OpenTide,The value is not null,[]
Bravo Asia,The value is not null,[]
McKinney,The value is not null,[]
Hakuhodo & Saigon Advertising,The value is not null,['YuyaYamada']
Hakuhodo Vietnam,The value is not null,['Mitsutaka Toyoda']
MJW Hakuhodo,The value is not null,[]
Consumer Insight Research,The value is not null,[]
Hakuho Communications,The value is not null,[]
Hakuhodo Percept,The value is not null,[]
Percept H,The value is not null,[]
Hakuhodo Cheil,The value is not null,[]
People\'n Rich-H,The value is not null,[]
Hakuhodo Communications Asia,The value is not null,[]
Hakuhodo Asia Pacific,The value is not null,[]
Socius,The value is not null,[]
SPA-Hakuhodo Advertising,The value is not null,[]
Spicy H,The value is not null,[]
Inpress Advertising,The value is not null,[]
Daiko Vietnam,iwata@daiko.com.vn,['Keiichi Iwata']
Square Event,cuong.huynh@square-vn.com,['Vo Thanh Trung']
Biz-Eyes Communications,van.le@biz-eyes.com.vn (Mrs. Vân),['Nguyen Truong Thien Son']
Delta,info@delta-vn.net,['Tran Minh Huong']
D-Square,khiem.truong@dsquare.com.vn,['Truong Nhu Quoc Khiem']
Gamma,anh.mai@gamma-vn.com,[]
Havas Worldwide,The value is not null,[]
Mai Thanh Advertising & Marketing,mai@maithanh.com.vn,['Tran Thi Thanh Mai']
Havas Worldwide Digital,The value is not null,[]
Havas PR,The value is not null,[]
Havas Life,The value is not null,[]
Havas Design+,The value is not null,[]
Aronold,The value is not null,[]
Host,The value is not null,[]
Porda,The value is not null,[]
One Green Bean,The value is not null,[]
Havas Media,The value is not null,[]
Havas Media Vietnam,tronghung@havasmedia.com,['Do Trong Hung']
Arena,The value is not null,[]
Havas Sports & Entertainment,The value is not null,[]
Havas Media International,The value is not null,[]
Mobext,The value is not null,[]
Ecselis,The value is not null,[]
Artemis,The value is not null,[]
Affiperf,The value is not null,[]
Socialyse,The value is not null,[]
ADK International,The value is not null,[]
ASP,The value is not null,[]
ADK Dialog,The value is not null,[]
Kyowa Kikaku,The value is not null,[]
ADK Arts,The value is not null,[]
Drill,The value is not null,[]
Right Song Music Publishing,The value is not null,[]
Eiken,The value is not null,[]
Nihon Ad Systems,The value is not null,[]
Nihon Bungeisha,The value is not null,[]
ADK Digital Communication,The value is not null,[]
BOYS,The value is not null,[]
DA Search & Link,The value is not null,[]
TOP Inc,The value is not null,[]
Dentsu BlueFocus,The value is not null,[]
Insight PR Consulting,The value is not null,[]
Blue Strategy,The value is not null,[]
BestChoice Business Consulting,The value is not null,[]
BlueFocus Communications Group of America,The value is not null,[]
Kingo Advertising,The value is not null,[]
Bojie Media,The value is not null,[]
Eyes Media,The value is not null,[]
SNK,The value is not null,[]
Blue Digital,The value is not null,[]
We Are Social,The value is not null,[]
Phluency,The value is not null,[]
Lantern,The value is not null,[]
Financial PR,The value is not null,[]
Aries Consulting,The value is not null,[]
DT Communications,The value is not null,[]
Huntsworth,The value is not null,[]
